airline_name,airport_name,avg_delay
"Alaska Airlines Inc.: AS","Kodiak, AK: Kodiak Airport",26.086206896551722
"Republic Airline: YX","Austin, TX: Austin - Bergstrom International",33.2
"JetBlue Airways: B6","Austin, TX: Austin - Bergstrom International",43
"Envoy Air: MQ","Colorado Springs, CO: City of Colorado Springs Municipal",48.75
"Endeavor Air Inc.: 9E","Columbus, GA: Columbus Airport",26.853658536585368
"American Airlines Inc.: AA","Panama City, FL: Northwest Florida Beaches International",273.5
"United Air Lines Inc.: UA","Fargo, ND: Hector International",31.20689655172414
"SkyWest Airlines Inc.: OO","Grand Island, NE: Central Nebraska Regional",75.55932203389831
"Frontier Airlines Inc.: F9","New Orleans, LA: Louis Armstrong New Orleans International",56.325
"Allegiant Air: G4","New Orleans, LA: Louis Armstrong New Orleans International",165.33333333333334
"Spirit Air Lines: NK","West Palm Beach/Palm Beach, FL: Palm Beach International",28.03448275862069
"Southwest Airlines Co.: WN","San Francisco, CA: San Francisco International",21.843014128728413
"Hawaiian Airlines Inc.: HA","Sacramento, CA: Sacramento International",22.433333333333334
"Delta Air Lines Inc.: DL","Christiansted, VI: Henry E. Rohlsen",48
"PSA Airlines Inc.: OH","Bristol/Johnson City/Kingsport, TN: Tri Cities",39
